PIP,SKU,NB NAME,ALL NAME,,QNTY,COST
3715885,GS3715885, Panadol Period Pain 500mg/65mg Tablets 14 Tablets, PANADOL PERIOD PAIN (Glaxo SmithKline Consumer),14,1,"£1,61"
986877,PM0986877, Panadol Ultra Tablets - 20, PANADOL ULTRA TAB (Glaxo SmithKline Consumer),20,1,"£2,61"
3441383,SU3441383, Periproducts Denti-Brush 30 Wire-Free Interdental Brushes, DENTI BRUSH (PERIPRODUCTS LTD),30,1,"£2,44"
216671,PM0216671, Phenergan 10mg Tablets - 56, Phenergan  - Promethazine (SANOFI UK), 10 mg tab,56,"£2,96"
216697,PM0216697, Phenergan 25mg Tablets - 56, Phenergan  - Promethazine (SANOFI UK), 25 mg tab,56,"£4,65"
3590320,GS3590320, Pirinase Allergy Nasal Spray, PIRINASE ALLERGY NASAL SPRAY (Glaxo SmithKline Consumer),60,1,"£4,59"
3017993,GS3017993, Piriteze Spray, PIRITEZE SYRUP (Glaxo SmithKline Consumer), 70ML (1),1,"£3,09"
3771789,GS3771789, Piz Buin After Sun Soothing & Cooling Moisturising Lotion, PIZ BUIN SOOTH COOL MOIST LOT (JOHNSON&JOHNSON LTD.), 200ML (1),1,"£5,95"
3564234,GS3564234, Piz Buin Allergy Spray SPF 50 High, PIZ BUIN ALLERGY SPRAY SPF50+ (JOHNSON&JOHNSON LTD.), 200ML (1),1,"£10,12"
2268969,GS2268969, Piz Buin Allergy Sun Sensitive Skin Lotion 15 SPF Medium, PIZ BUIN ALLERGY LOT SPF15 (JOHNSON&JOHNSON LTD.), 200ML (1),1,"£8,34"
3378379,GS3378379, Piz Buin Allergy Sun Sensitive Skin Lotion 50+ SPF Very High, PIZ BUIN ALLERGY LOT SPF50 (JOHNSON&JOHNSON LTD.), 200ML (1),1,"£9,53"
3564242,GS3564242, Piz Buin Allergy Sun Sensitive Skin Spray 30 SPF High, PIZ BUIN ALLERGY SPRAY SPF 30 (JOHNSON&JOHNSON LTD.), 200ML (1),1,"£9,53"
3137130,GS3137130, Preparation H?Clear Gel - 50g, PREPARATION H COOLING GEL (Wyeth Pharmaceuticals), 50G (1),1,"£3,50"
20602,PM0020602, Quinoderm Dual Action 5 Cream - 50g, QUINODERM 5 CRM (ALLIANCE PHARMA LTD), 50G (1),1,"£2,43"
232181,GS0232181, Radian B Muscle Rub - 100g, RADIAN B MUSCLE RUB (Thornton & Ross), 100G (1),1,"£2,36"
2397313,GS2397313, Radian B Pump Action Spray, RADIAN B (Thornton & Ross), 100ML (1),1,"£1,78"
3583408,GS3583408, Regaine for Men Extra Strength Foam - Single Pack, REGAINE FOR MEN FOAM (JOHNSON&JOHNSON LTD.), 73ML (1),1,"£21,84"
2550416,GS2550416, Regaine for Men Extra Strength Foam - Triple Pack, REGAINE FOR MEN TRIPLE (JOHNSON&JOHNSON LTD.), 60ML (3),1,"£39,71"
2847309,GS2847309, Regaine for Women Regular Strength, REGAINE FOR WOMEN (JOHNSON&JOHNSON LTD.), 60ML (1),1,"£14,16"
3741915,GS3741915, Riemann P20 Once a Day Sun Protection Spray SPF 15 Medium, RIEMANNS P20 SPF15 (GODREJ CONSUMER PRODUCTS), 200ML (1),1,"£14,47"
3741899,GS3741899, Riemann P20 Once a Day Sun Protection Spray SPF 50+ Very High, RIEMANNS P20 SPF50+ (GODREJ CONSUMER PRODUCTS), 200ML (1),1,"£14,47"
3741907,GS3741907, Riemann P20 Sun Lotion  SPF30 - 200ml, RIEMANNS P20 SPF30 (GODREJ CONSUMER PRODUCTS), 200ML (1),1,"£14,47"
3542016,GS3542016, Sally Hansen Airbrush Legs Light Glow, SALLY HANSEN ARBRSH LEGS LIGHT (RIMMEL INTERNATIONAL LTD),1,1,"£6,49"
3090180,GS3090180, Sally Hansen Airbrush Legs Medium Glow, SALLY HANSEN ARBRSH LEGS MED (RIMMEL INTERNATIONAL LTD), 75ML (1),1,"£6,49"
3699915,SU3699915, Scholl Dry Skin Daily Moisturiser - 60ml, SCHOLL DAILY MOISTURISER (Reckitt Benckiser ), 60ML (1),1,"£2,90"
3063567,SU3063567, Scholl Gel Arch Supports - Size 4 - 6, SCHOLL ADJUST GEL ARCH SUP 4-5 (Reckitt Benckiser ),1,1,"£8,73"
3063583,SU3063583, Scholl Gel Arch Supports - Size 8 - 10, SCHOLL ADJUST GEL ARCH SUP 8-9 (Reckitt Benckiser ),1,1,"£8,73"
3773793,SU3773793, Scholl Hard Skin & Callus Express Liquid Treatment - 50ml, SCHOLL HARD SKIN XPRS TRTMNT (Reckitt Benckiser ), 50ML (1),1,"£7,75"
3793908,SU3793908, Scholl Seal & Heal Verruca Removal Gel - 10ml, SCHOLL VERRUCA SEAL&HEAL GEL (Reckitt Benckiser ), 10ML (1),1,"£3,88"
83345,GS0083345, Seaband Nausea Relief Adult Wrist Band - Grey, SEA-BAND GREY (Dendron),1,1,"£4,78"
2467322,GS2467322, Seaband Wrist Band for Children, SEA-BAND FOR CHILDREN (Dendron),1,1,"£4,78"
2407708,GS2407708, Sebamed Anti-Dandruff Shampoo, SEBAMED SPOO ANTI DANDRUFF (PASANTE HEALTHCARE LTD), 200ML (1),1,"£3,31"
3206232,GS3206232, Sebamed Baby Cleansing Bar - 100g, SEBAMED BABY CLEANSING BAR (PASANTE HEALTHCARE LTD), 100G (1),1,"£1,97"
3206257,GS3206257, Sebamed Baby Cream Extra Soft - 50ml, SEBAMED BABY CRM EXT SOFT (PASANTE HEALTHCARE LTD), 50ML (1),1,"£1,91"
881714,GS0881714, Sebamed Cleansing Bar, SEBAMED CLEANSING BAR (PASANTE HEALTHCARE LTD), 150G (1),1,"£2,47"
3513660,GS3513660, Sebamed Cleansing Bar - 100g, SEBAMED CLR FACE CLEANS BAR (PASANTE HEALTHCARE LTD), 100G (1),1,"£2,69"
3247384,GS3247384, Sebamed Clear Face Antibacterial Cleansing Foam - 150ml, SEBAMED CLR FACE CLEANSE FOAM (PASANTE HEALTHCARE LTD), 150ML (1),1,"£4,94"
2407716,GS2407716, Sebamed Everyday Shampoo, SEBAMED SPOO EVERYDAY (PASANTE HEALTHCARE LTD), 200ML (1),1,"£3,32"
3169638,GS3169638, Sebamed Liquid Face and Body Wash, SEBAMED LIQ FACE & BODY WASH 1LT (PASANTE HEALTHCARE LTD), 1000ML (1),1,"£12,49"
448571,GS0448571, Selsun Shampoo 2.5% w/v - 150ml, SELSUN SPOO (Sanofi-Aventis), 150ML (1),1,"£3,06"
257527,PM0257527, Senokot Syrup - 500ml, SENOKOT SYRUP (FORUM HEALTH PRODUCTS LTD), 500ML (1),1,"£2,69"
3553203,GS3553203, Sterimar Baby Nasal Hygiene Spray - 100ml, STERIMAR BABY (CHURCH & DWIGHT UK LTD.), 50ML (1),1,"£2,84"
3356276,GS3356276, Sterimar Congestion Relief Hypertonic Spray - 100ml, STERIMAR HYPERTONIC CONGEST REL (CHURCH & DWIGHT UK LTD.), 100ML (1),1,"£4,80"
2436996,GS2436996, Sterimar Nasal Hygiene Isotonic Spray - 100ml, STERIMAR ISOTONIC NASAL SPRAY (CHURCH & DWIGHT UK LTD.), 100ML (1),1,"£4,48"
2861292,GS2861292, Stiefel Oilatum Gel 150g, Oilatum Gel  - Emollient Gel (Glaxo SmithKline Consumer), 1 unit (150ml),150,"£5,15"
3400561,GS3400561, Stiefel Oilatum Shower Gel 150g, OILATUM SHOWER GEL FRAG FREE (Glaxo SmithKline Consumer), 150G (1),1,"£5,15"
2852572,SU2852572, TENA Flex Super Large Pants - 30, TENA FLEX SUPER LARGE (SCA HYGIENE PAPER LTD),30,1,"£13,93"
161208,GS0161208, Triple Dry Advanced Protection Anti-Perspirant Quick Dry Roll-On, TRIPLE DRY ROLL-ON (ROBINSON YOUNG), 50ML (1),1,"£4,60"
3360260,GS3360260, Triple Dry Men Advanced Protection Anti-Perspirant, TRIPLE DRY 72HR ACTV MENS APD (ROBINSON YOUNG), 150ML (1),1,"£3,28"
3554789,GS3554789, Triple Dry Men Advanced Protection Anti-Perspirant Quick Dry Roll-On, TRIPLE DRY 72HR MENS AP ROLL ON (LORNAMEAD UK LTD), 50ML (1),1,"£4,60"
996397,GS0996397, Triple Dry Unfragranced 72hrs Advanced Protection Anti-Perspirant, TRIPLE DRY ANTIP SPRAY UNFRAG (ROBINSON YOUNG), 150ML (1),1,"£3,28"
17855,GS0017855, Ultra Chloraseptic Original Throat Spray - 15ml, ULTRA CHLORASEPTIC SPR MENTHOL (ALLOGA - CEUTA), 15ML (1),1,"£3,21"
3234176,PM3234176, Ultramol Soluble Tablets, ULTRAMOL SOLUBLE (Sanofi-Aventis),32,1,"£2,87"
128124,GS0128124, Vagisil Moisture Shield Intimate Feminine Powder - 100g, VAGISIL POWDER (ALLOGA - CEUTA), 100G (1),1,"£2,96"
3804366,GS3804366, Vagisil Odour Shield Intimate Wash - 250ml, VAGISIL ODOUR SHIELD WASH (ALLOGA - CEUTA), 250ML (1),1,"£3,21"
2859643,PM2859643, Veganin Tablets - 30, VEGANIN TAB (Omega Pharma),30,1,"£3,06"
3404928,SU3404928, Wisdom Clean Between Brushes, WISDOM INTERDENTAL (WISDOM TOOTHBRUSHES),1,1,"£1,36"
3477528,SU3477528, Wisdom Clean Between Flossers, WISDOM CLEAN BETWEEN FLOSSERS (WISDOM TOOTHBRUSHES),1,1,"£0,80"
3224912,SU3224912, Wisdom Dental Floss, WISDOM DENTAL FLOSS 100M (WISDOM TOOTHBRUSHES),1,1,"£0,85"
3224938,SU3224938, Wisdom Dental Sticks, WISDOM DENTAL STICKS (WISDOM TOOTHBRUSHES),100,1,"£1,00"
2729879,GS2729879, Witch Blemish Gel 35ml, WITCH CLEAR PORE GEL (ROBINSON YOUNG), 35ML (1),1,"£2,43"
2796134,GS2796134, Witch Cleansing and Toning Wipes - 25 Pack, WITCH FACIAL CLEANS&TONE WIPES (ROBINSON YOUNG),25,1,"£2,30"
2729846,GS2729846, Witch Foaming Face Wash 150ml, WITCH FOAMING FACE WASH (ROBINSON YOUNG), 150ML (1),1,"£2,71"
311639,GS0311639, Woodwards Gripe Water, WOODWARDS GRIPE WATER (Reckitt Benckiser ), 150ML (1),1,"£1,93"
447771,PM0447771, Zirtek Allergy Relief Tablets, ZIRTEK ALLERGY TABLETS (UCB Pharma),30,1,"£8,12"
3721669,SU3721669, BILLY BOY Dotted Condoms, N/A, N/A, N/A,"£6,78"
3721685,SU3721685, BILLY BOY Endurance Condoms, N/A, N/A, N/A,"£6,78"
3721719,SU3721719, BILLY BOY Extra Thin Condoms, N/A, N/A, N/A,"£6,78"
3721651,SU3721651, BILLY BOY Fun Selection Condoms, N/A, N/A, N/A,"£6,78"
3721693,SU3721693, BILLY BOY Protection Condoms, N/A, N/A, N/A,"£6,78"
3721727,SU3721727, BILLY BOY White Condoms, N/A, N/A, N/A,"£6,78"
3685377,GS3685377, Blistex Intensive Multi Action Moisturising Hand Cream, N/A, N/A, N/A,"£2,25"
2614774,GS2614774, Cuticura Intensive Hand Cream, N/A, N/A, N/A,"£1,02"
8093130,GS8093130, Dermatol Natural Sports Spray, N/A, N/A, N/A,"£2,11"
6831119,SU6831119, Dettol Anti-Bacterial Multi-Purpose Wipes, N/A, N/A, N/A,"£9,63"
2933315,GS2933315, Dove Essential Nourishment Hand Cream, N/A, N/A, N/A,"£1,84"
3430063,GS3430063, Dove Intensive Nourishment Hand Cream, N/A, N/A, N/A,"£1,84"
3247574,GS3247574, Dove Pro-Age Anti-Perspirant Deodorant, N/A, N/A, N/A,"£2,02"
3247517,GS3247517, Dove Pro-Age Body Wash, N/A, N/A, N/A,"£2,03"
2933869,GS2933869, Dove Regenerating Nourishment Hand Cream, N/A, N/A, N/A,"£1,84"
3857026,SU3857026, Durex Excite Me Condoms, N/A, N/A, N/A,"£6,56"
3857109,SU3857109, Durex Mutual Climax Condoms, N/A, N/A, N/A,"£9,71"
3813987,SU3813987, Durex Play Feel Intimate Lube, N/A, N/A, N/A,"£3,84"
3152345,SU3152345, Durex Play Tingle Lube, N/A, N/A, N/A,"£3,16"
3587573,GS3587573, GALPHARM ENTERIC COAT ASPIRIN, N/A, N/A, N/A,"£0,32"
2875524,GS2875524, Nurofen for Children Singles Orange - 16, N/A, N/A, N/A,"£3,59"
203133,GS0203133, Oraldene Mouthwash - 200ml, N/A, N/A, N/A,"£2,22"
3671310,GS3671310, Pearl Drops Pro-White, N/A, N/A, N/A,"£2,54"
3693199,SU3693199, Pearl Drops Smokers Toothbrush, N/A, N/A, N/A,"£0,73"
2605376,GS2605376, Perspirex Anti-perspirant Roll-On - 25ml, N/A, N/A, N/A,"£4,36"
3852795,SU3852795, PLUGGERZ EARPLUG SLEEP, N/A, N/A, N/A,"£5,54"
3853215,SU3853215, PLUGGERZ EARPLUG SWIM, N/A, N/A, N/A,"£5,54"
3853181,SU3853181, PLUGGERZ EARPLUG TRAVEL KIDS, N/A, N/A, N/A,"£5,54"
3583416,PM3583416, Regaine for Men Extra Strength Scalp Foam - Triple Pack, N/A, N/A, N/A,"£43,69"
3289931,SU3289931, RepHresh Vaginal Gel, N/A, N/A, N/A,"£8,64"
2553378,GS2553378, Savlon Antiseptic Cream - 100g, N/A, N/A, N/A,"£2,65"
3773462,SU3773462, Scholl Express Pedi 2 Replacement Rollers, N/A, N/A, N/A,"£8,08"
978684,GS0978684, SETLERS PEPPERMINT, N/A, N/A, N/A,"£1,40"
2035590,GS2035590, Steradent Pro Extra Strength 30 Tablets, N/A, N/A, N/A,"£1,09"
3654498,GS3654498, Strepsils Warm Lozenges - 24, N/A, N/A, N/A,"£2,65"
3570710,PM3570710, Sudafed Dry Coughs with Decongestant Liquid - 100ml, N/A, N/A, N/A,"£2,50"
3687357,GS3687357, Sudocrem Baby Moisturising Mousse, N/A, N/A, N/A,"£5,47"
2167831,GS2167831, TOTALCARE DAILY CLEANER, N/A, N/A, N/A,"£4,42"
3655347,PM3655347, Voltarol Pain-eze 25mg Extra Strength Tablets, N/A, N/A, N/A,"£4,20"
3722493,SU3722493, Wisdom Quantum Whitening Toothbrush, N/A, N/A, N/A,"£2,40"
3722329,GS3722329, Wisdom Step by Step Toothpaste 0-3 years, N/A, N/A, N/A,"£0,95"
3722337,GS3722337, Wisdom Step by Step Toothpaste 4+ years, N/A, N/A, N/A,"£0,95"
3591039,GS3591039, Witch Anti-Blemish Pressed Powder, N/A, N/A, N/A,"£3,24"
3591070,GS3591070, Witch Anti-Blemish Skin Clearing Primer, N/A, N/A, N/A,"£4,54"
2413789,GS2413789, Alka-Seltzer Original Effervescent Tablets - 20, ALKA SELTZER ORIGINAL,20,1,"£2,67"
8161630,PM8161630, ALMUS BECLOMETASONE AQ NAS SPR, BECLOMETASONE AQ NAS SPR (ALMUS OTC), 200DS (1),1,"£3,50"
2556512,GS2556512, Aloe Dent Triple Action Toothpaste, ALOE DENT T/PST TRIPLE ACTION (OPTIMA H & N TENDER), 100ML (1),1,"£2,27"
2728988,GS2728988, Aloe Dent Whitening Toothpaste, ALOE DENT T/PST  SENSITIVE (OPTIMA H & N TENDER), 100ML (1),1,"£2,27"
3254257,SU3254257, Alvita Mid Stream Pregnancy Test Kit, ALVITA  PREG TEST MID  STRM   TWIN (ALVITA H&B),2,1,"£2,89"
2717981,GS2717981, Anusol Cream - 43g, ANUSOL CREAM (JOHNSON&JOHNSON LTD.), 43G (1),1,"£3,50"
2483717,GS2483717, Autan Topical Pump Spray - 100ml, AUTAN TROPICAL PUMP SPRAY (S.C. JOHNSON LTD), 100ML (1),1,"£3,38"
3647609,GS3647609, Aveeno Body Wash Dry & Sens skin 500ml, AVEENO BODY WASH (JOHNSON&JOHNSON LTD.), 500ML (1),1,"£6,82"
3362209,GS3362209, Balance Activ Vaginal Gel, BALANCE ACTIV BV GEL (BBI Healthcare), 5ML (1),1,"£6,38"
3021060,GS3021060, Bausch & Lomb Renu Multi Purpose Solution Sensitive Eyes 500ml, BAUSCH&LOMB SALINE SENSITIVE EYES (Bausch & Lomb), 500ML (1),1,"£2,94"
2496289,GS2496289, Beechams Flu Plus Caplets - 16, BEECHAMS FLU+ CAPLETS (BEECHAMS) (Glaxo SmithKline Consumer),16,1,"£2,34"
3394285,PM3394285, Benylin Cold & Flu Day & Night Max Strength Capsules - 16, BENYLIN COLD&FLU DAY&NIGHT (JOHNSON&JOHNSON LTD.),16,1,"£2,41"
3394293,GS3394293, Benylin Dry Coughs Blackcurrant 150ml, BENYLIN DRY BLACKCURRANT (JOHNSON&JOHNSON LTD.), 150ML (1),1,"£2,81"
3467370,PM3467370, Benylin Mucus Cough Night 150ml, BENYLIN MUCUS NIGHT (JOHNSON&JOHNSON LTD.), 150ML (1),1,"£3,36"
3274651,GS3274651, Benylin Tickly Coughs Non-Drowsy Syrup - 150ml, BENYLIN TICKLY NON-DROWSY (JOHNSON&JOHNSON LTD.), 150ML (1),1,"£2,83"
31708,GS0031708, Bisodol Indigestion Relief Tabs, BISODOL TAB (TEVA),100,1,"£2,34"
202887,GS0202887, Blistex Intensive Moisturiser Hydrating Lip Cream - 5g, BLISTEX INTENSIVE MOIST (DENDRON LTD), 5G (1),1,"£1,40"
2705598,GS2705598, Breathe Right Nasal Large 10, BREATHE RIGHT N/STRIP CLR LG (BREATHE RIGHT) (Glaxo SmithKline Consumer),10,1,"£3,40"
2705580,GS2705580, Breathe Right Nasal Small/Med 10, BREATHE RIGHT N/STRIP CLR S/M (Glaxo SmithKline Consumer),10,1,"£3,40"
2391316,GS2391316, Breathe Right Tan Nasal Strips Small/Medium - 30, BREATHE RIGHT N/STRIP NAT S/M (Glaxo SmithKline Consumer),30,1,"£7,94"
3120383,GS3120383, Buscopan IBS Relief Tabs, BUSCOPAN IBS (Boehringer),20,1,"£2,64"
3590833,GS3590833, Calpol Infant Sugar Free Colour Free 120 mg/5 ml Oral Susp Strawb 2+ Mnth 100ml, CALPOL INFANT SUSP S/F C/F (JOHNSON&JOHNSON LTD.), 100ML (1),1,"£2,00"
3222536,PM3222536, Calpol Infant Suspension - 200ml, CALPOL INFANT SUSP ORIG (JOHNSON&JOHNSON LTD.), 200ML (1),1,"£3,35"
2811016,GS2811016, Canesten Cream Combi (Internal & External) Creams (GSL), CANESTEN CREAM COMBI,1,1,"£8,21"
2601425,PM2601425, Canesten Internal Cream 10% (P) - 5g, CANESTEN INTERNAL, 5G (1),1,"£6,22"
2918738,PM2918738, Canesten Oral Capsule 150mg, CANESTEN ORAL CAP 150MG,1,1,"£6,33"
3490216,GS3490216, CARE EPSOM SALTS, CARE EPSOM SALTS (Thornton & Ross), 300G (1),1,"£2,77"
2781888,SU2781888, CARNATION CUSHION INSOLES, CARNATION CUSHION INSOLES (ALLOGA - CEUTA), 1PR (1),1,"£1,91"
2673648,SU2673648, CARNATION PRES/REL INSOLES CTS, CARNATION PRES/REL INSOLES CTS (ALLOGA - CEUTA), 1PR (1),1,"£1,19"
3065885,GS3065885, Clearasil Ultra Rapid Action Treatment Cream 25ml, CLEARASIL ULTRA T/MENT CRM (Reckitt Benckiser ), 25ML (1),1,"£4,39"
3729902,GS3729902, Clearblue Pregnancy Test Double Check and Date kit, CLEARBLUE PREG CHECK & DATE (Procter & Gamble ),2,1,"£8,64"
3821147,SU3821147, Colgate 360o Max White One Toothbrush, COLGATE T/BR MAX WHITE 360 MED (COLGATE PALMOLIVE LTD),1,1,"£2,04"
3684594,GS3684594, Colgate Total Advanced Clean Toothpaste, COLGATE T/PASTE T/ADV CLN RRP (COLGATE PALMOLIVE LTD), 125ML (1),1,"£2,23"
3684560,GS3684560, Colgate Total Advanced Fresh Toothpaste, COLGATE T/PST TOTADV FRSH (COLGATE PALMOLIVE LTD), 125ML (1),1,"£2,23"
2501609,GS2501609, Compeed Blister on Toes, COMPEED B/TW TOE BLISTER PLAST (JOHNSON&JOHNSON LTD.),8,1,"£2,81"
30858,GS0030858, Compeed Blister Relief Small, COMPEED BLISHYDRO SM (JOHNSON&JOHNSON LTD.),6,1,"£2,78"
843698,GS0843698, Complan Vanilla Shake Sachets 55g - 4, COMPLAN SACH VANILLA (NUTRICIA LTD),4,1,"£2,98"
469247,PM0469247, Corsodyl 1 ww Dental Gel - 50g, CORSODYL 1% GEL (Glaxo SmithKline Consumer), 50G (1),1,"£1,26"
3712155,GS3712155, Corsodyl Daily Cool Mint Alcohol Free Mouthwash - 500ml, CORSODYL DAILY M/W C/MINT A/F (Glaxo SmithKline Consumer), 500ML (1),1,"£3,03"
2277028,GS2277028, Corsodyl Mint Mouthwash - 600ml, CORSODYL M/WASH MINT (Glaxo SmithKline Consumer), 600ML (1),1,"£4,76"
3772340,PM3772340, Covonia Dry Cough Sugar Free Formula 150ml, COVONIA DRY COUGH SUGAR FREE (Thornton & Ross), 150ML (1),1,"£2,91"
2144962,PM2144962, Cuprofen Maximum Strength Tablets - 48, CUPROFEN 400MG MAX (Reckitt Benckiser ),48,1,"£2,90"
2109775,GS2109775, Cuticura Mildly Medicated Bar Soap 100g, CUTICURA ANTIBAC SOAP (GODREJ CONSUMER PRODUCTS), 100G (1),1,"£1,02"
880476,GS0880476, Cuticura Mildly Medicated Talcum Powder - 150g, CUTICURA MEDICATED TALC (GODREJ CONSUMER PRODUCTS), 150G (1),1,"£1,83"
3429529,GS3429529, Deep Freeze Cold Spray 150ml, DEEP FREEZE COLD SPRAY (ALLOGA - THE MENTHOLATUM CO LTD), 150ML (1),1,"£2,34"
3194057,GS3194057, Deep heat patches - 4, DEEP HEAT PATCH (ALLOGA - THE MENTHOLATUM CO LTD),4,1,"£3,91"
2114890,GS2114890, Deep Relief Gel - 50g, DEEP RELIEF (ALLOGA - THE MENTHOLATUM CO LTD), 50G (1),1,"£3,39"
467647,GS0467647, Dettol Antiseptic Cream 30g, DETTOL ANTISEPTIC CREAM (Reckitt Benckiser ), 30G (1),1,"£1,41"
3247533,GS3247533, Dove Pro-Age Cream Oil, DOVE PRO AGE CREME OIL LOTION (UNILEVER LTD), 250ML (1),1,"£2,72"
3247509,GS3247509, Dove Pro-Age Nourishing Body Lotion, DOVE PRO AGE BODY LOTION (UNILEVER LTD), 250ML (1),1,"£2,72"
3290954,GS3290954, Dr Wolff Plantur 39 Phyto-Caffeine Shampoo for Coloured and Stressed Hair, PLANTUR 39 SPOO COLOURED HAIR (ACDOCO LTD), 250ML (1),1,"£6,18"
3290939,GS3290939, Dr Wolff Plantur 39 Phyto-Caffeine Shampoo for Fine or Brittle Hair, PLANTUR 39 SPOO FINE HAIR (ACDOCO LTD), 250ML (1),1,"£6,18"
3290962,GS3290962, Dr Wolff Plantur 39 Phyto-Caffeine Tonic, PLANTUR 39 CAFFEINE TONIC (ACDOCO LTD), 200ML (1),1,"£6,18"
2114304,GS2114304, Drapolene Antiseptic Cream 350g, DRAPOLENE CRM (SUPRA ENTERPRISES LTD), 350G (1),1,"£4,28"
3668829,SU3668829, Durex Close Feel Condoms, DUREX CLOSE FEEL (Reckitt Benckiser ),10,1,"£5,71"
3836665,SU3836665, Durex Embrace Pleasure Gels, DUREX LUBE EMBRACE (Reckitt Benckiser ), 60ML (2),1,"£9,70"
3941176,SU3941176, Durex Play Aloe Vera Lube, DUREX LUBE ALOE VERA (Reckitt Benckiser ), 50ML (1),1,"£3,16"
3571544,SU3571544, Durex Play Massage 2in1 Sensual, DUREX GEL PLAY 2IN1 SENSUAL (Reckitt Benckiser ), 200ML (1),1,"£4,63"
3136116,SU3136116, Durex Play Vibrations, DUREX PLAY VIBE RING (Reckitt Benckiser ),1,1,"£3,23"
3136108,SU3136108, Durex Play Warming Lube, DUREX LUBE PLAY WARMING (Reckitt Benckiser ), 60ML (1),1,"£3,16"
